Date,High,Low,Open,Status,DateTime,year,month,day,30d_avg,Std,RSI,Williams %R
11/9/2015,469.0,469.0,469.0,1,2015-11-09,2015,11,9,467.6666666666667,21.89210743204647,50.13277596501142,-0.0
11/10/2015,474.0,474.0,474.0,1,2015-11-10,2015,11,10,467.1333333333333,21.521013521409216,51.60983138948302,-0.0
11/15/2015,471.0,471.0,471.0,-1,2015-11-15,2015,11,15,466.56666666666666,21.173639000084986,50.640624296643175,-12.0
11/16/2015,467.0,467.0,467.0,-1,2015-11-16,2015,11,16,466.43333333333334,21.15734702966102,49.31093312779338,-28.0
11/18/2015,475.0,475.0,475.0,1,2015-11-18,2015,11,18,466.76666666666665,21.212688677292018,52.02417708952595,-0.0
11/19/2015,475.0,475.0,475.0,0,2015-11-19,2015,11,19,467.4,21.163729545522795,52.024177089525935,-0.0
11/22/2015,460.0,460.0,460.0,-1,2015-11-22,2015,11,22,467.7,20.986284519447622,46.600030830030235,-100.0
11/23/2015,450.0,450.0,450.0,-1,2015-11-23,2015,11,23,467.7,20.986284519447622,43.35472220238562,-100.0
11/24/2015,461.0,461.0,461.0,1,2015-11-24,2015,11,24,468.3333333333333,20.46415425067878,47.671736544806315,-56.0
11/25/2015,461.0,461.0,461.0,0,2015-11-25,2015,11,25,468.53333333333336,20.35839796782311,47.67173654480631,-56.0
11/26/2015,446.0,446.0,446.0,-1,2015-11-26,2015,11,26,468.23333333333335,20.629211517076072,42.54399644425464,-100.0
11/29/2015,442.0,442.0,442.0,-1,2015-11-29,2015,11,29,467.6333333333333,21.13255917941404,41.2691895929883,-100.0
11/30/2015,428.0,428.0,428.0,-1,2015-11-30,2015,11,30,467.06666666666666,21.97166409238677,37.08113918118453,-100.0
12/1/2015,431.0,431.0,431.0,1,2015-12-01,2015,12,1,466.76666666666665,22.411024585874653,38.52090328124766,-90.9090909090909
12/2/2015,445.0,445.0,445.0,1,2015-12-02,2015,12,2,466.6,22.55812415777105,44.86185052956747,-48.484848484848484
12/3/2015,455.0,455.0,455.0,1,2015-12-03,2015,12,3,464.96666666666664,21.506187294687912,48.91486241477809,-18.18181818181818
12/6/2015,459.0,459.0,459.0,1,2015-12-06,2015,12,6,462.26666666666665,16.188402262615817,50.482791860014956,-0.0
12/7/2015,456.0,456.0,456.0,-1,2015-12-07,2015,12,7,461.3,15.640685230607128,49.261593117907644,-9.67741935483871
12/8/2015,447.0,447.0,447.0,-1,2015-12-08,2015,12,8,459.8666666666667,14.8712481987451,45.690700900214665,-38.70967741935484
12/9/2015,460.0,460.0,460.0,1,2015-12-09,2015,12,9,458.8,13.578380381815697,51.194044570137834,-0.0
12/10/2015,469.0,469.0,469.0,1,2015-12-10,2015,12,10,458.1,12.405087943933562,54.62234098219805,-0.0
12/13/2015,465.0,465.0,465.0,-1,2015-12-13,2015,12,13,457.8666666666667,12.198737451165714,52.84562998671808,-18.181818181818183
12/14/2015,452.0,452.0,452.0,-1,2015-12-14,2015,12,14,457.5,12.204436728593548,47.444323916536355,-77.27272727272727
12/15/2015,446.0,446.0,446.0,-1,2015-12-15,2015,12,15,456.7,12.143254122755959,45.150576515030956,-100.0
12/16/2015,450.0,450.0,450.0,1,2015-12-16,2015,12,16,456.06666666666666,11.973918015580894,46.99053560848137,-82.6086956521739
12/17/2015,451.0,451.0,451.0,1,2015-12-17,2015,12,17,456.1,11.957828196315097,47.465006393491265,-78.26086956521739
12/20/2015,465.0,465.0,465.0,1,2015-12-20,2015,12,20,456.43333333333334,12.065005918617132,53.71157080426047,-17.391304347826086
12/21/2015,481.0,481.0,481.0,1,2015-12-21,2015,12,21,457.5,12.778618996137652,59.62075305180026,-0.0
12/22/2015,539.0,539.0,539.0,1,2015-12-22,2015,12,22,460.03333333333336,19.612598578176208,73.05112985160878,-0.0
12/23/2015,512.0,512.0,512.0,-1,2015-12-23,2015,12,23,462.06666666666666,21.695277308009626,62.611099394868354,-29.032258064516128
12/24/2015,490.0,490.0,490.0,-1,2015-12-24,2015,12,24,462.76666666666665,22.258176852154403,55.63423118859344,-55.056179775280896
12/27/2015,502.0,502.0,502.0,1,2015-12-27,2015,12,27,463.7,23.307761027994594,58.35984767605842,-42.04545454545455
12/28/2015,502.0,502.0,502.0,0,2015-12-28,2015,12,28,464.73333333333335,24.30826925190604,58.35984767605843,-50.0
12/29/2015,499.0,499.0,499.0,-1,2015-12-29,2015,12,29,465.8,25.100350320405255,57.33850269493176,-68.96551724137932
12/31/2015,500.0,500.0,500.0,1,2015-12-31,2015,12,31,466.6333333333333,25.820979619408682,57.60484366621191,-79.59183673469389
01/03/2016,500.0,500.0,500.0,0,2016-01-03,2016,1,3,467.46666666666664,26.49493553861895,57.60484366621191,-54.54545454545455
01/04/2016,518.0,518.0,518.0,1,2016-01-04,2016,1,4,469.4,28.004433146597336,62.49310951924352,-0.0
01/05/2016,515.0,515.0,515.0,-1,2016-01-05,2016,1,5,471.56666666666666,28.950234747825327,61.22601788570285,-15.789473684210526
01/06/2016,495.0,495.0,495.0,-1,2016-01-06,2016,1,6,472.7,29.18685344111751,53.445938623933365,-100.0
01/07/2016,510.0,510.0,510.0,1,2016-01-07,2016,1,7,474.3333333333333,29.872526108317707,57.77925000918308,-34.78260869565217
01/10/2016,515.0,515.0,515.0,1,2016-01-10,2016,1,10,476.6333333333333,30.269460350082657,59.14439079606858,-13.043478260869565
01/11/2016,520.0,520.0,520.0,1,2016-01-11,2016,1,11,479.23333333333335,30.5407397030485,60.519137887805265,-0.0
01/12/2016,525.0,525.0,525.0,1,2016-01-12,2016,1,12,482.46666666666664,30.060551917909986,61.89978665613204,-0.0
01/13/2016,521.0,521.0,521.0,-1,2016-01-13,2016,1,13,485.46666666666664,29.226503481382984,60.08940898199779,-13.333333333333334
01/14/2016,530.0,530.0,530.0,1,2016-01-14,2016,1,14,488.3,29.288281756976225,62.7305989999843,-0.0
01/17/2016,555.0,555.0,555.0,1,2016-01-17,2016,1,17,491.6333333333333,31.00776691726712,68.88946967871141,-0.0
01/18/2016,564.0,564.0,564.0,1,2016-01-18,2016,1,18,495.1333333333333,33.0555784152687,70.762626800159,-0.0
01/19/2016,571.0,571.0,571.0,1,2016-01-19,2016,1,19,498.96666666666664,34.9733724654823,72.16633674274422,-0.0
01/20/2016,579.0,579.0,579.0,1,2016-01-20,2016,1,20,503.3666666666667,36.48096653791384,73.71927097487568,-0.0
01/21/2016,593.0,593.0,593.0,1,2016-01-21,2016,1,21,507.8,39.022009704517636,76.21974284676332,-0.0
01/24/2016,583.0,583.0,583.0,-1,2016-01-24,2016,1,24,511.6,40.63088684138457,71.02178452182453,-15.873015873015873
01/25/2016,605.0,605.0,605.0,1,2016-01-25,2016,1,25,516.2666666666667,43.06125014868904,75.05264035970873,-0.0
01/26/2016,595.0,595.0,595.0,-1,2016-01-26,2016,1,26,521.0333333333333,43.61309779012183,70.26804203819393,-24.390243902439025
01/27/2016,595.0,595.0,595.0,0,2016-01-27,2016,1,27,526.0,43.25625328523052,70.26804203819393,-29.41176470588235
01/28/2016,580.0,580.0,580.0,-1,2016-01-28,2016,1,28,530.3333333333334,41.86952915026058,63.25313108722597,-96.15384615384615
01/31/2016,590.0,590.0,590.0,1,2016-01-31,2016,1,31,534.9666666666667,40.45472849335929,65.71075622946071,-60.0
02/01/2016,574.0,574.0,574.0,-1,2016-02-01,2016,2,1,538.6,38.8157451167135,58.92077718480032,-100.0
02/02/2016,585.0,585.0,585.0,1,2016-02-02,2016,2,2,542.0666666666667,38.13219594799442,61.84019030047344,-64.51612903225806
02/03/2016,580.0,580.0,580.0,-1,2016-02-03,2016,2,3,543.4333333333333,38.74824430579738,59.76118989105772,-71.42857142857143
02/04/2016,580.0,580.0,580.0,0,2016-02-04,2016,2,4,545.7,38.83488477982415,59.76118989105772,-71.42857142857143
02/07/2016,589.0,589.0,589.0,1,2016-02-07,2016,2,7,549.0,38.13858576478785,62.400030291007816,-6.25
02/08/2016,595.0,595.0,595.0,1,2016-02-08,2016,2,8,552.1,37.965819473257895,64.09073564162844,-0.0
02/11/2016,590.0,590.0,590.0,-1,2016-02-11,2016,2,11,555.0333333333333,37.35614553451076,61.60475301025411,-23.80952380952381
02/14/2016,569.0,569.0,569.0,-1,2016-02-14,2016,2,14,557.3666666666667,35.89302432788917,52.40980368223299,-100.0
02/15/2016,570.0,570.0,570.0,1,2016-02-15,2016,2,15,559.7,34.27389677291079,52.7713021657473,-96.15384615384615
02/16/2016,590.0,590.0,590.0,1,2016-02-16,2016,2,16,562.7,32.77420137642125,59.41183698757477,-19.23076923076923
02/17/2016,576.0,576.0,576.0,-1,2016-02-17,2016,2,17,564.6333333333333,31.740850795080238,53.71806382468171,-73.07692307692308
02/18/2016,590.0,590.0,590.0,1,2016-02-18,2016,2,18,567.1333333333333,30.63098874121615,58.047846720246746,-19.23076923076923
02/21/2016,598.0,598.0,598.0,1,2016-02-21,2016,2,21,570.5666666666667,27.919444878059316,60.331583769657236,-0.0
02/22/2016,585.0,585.0,585.0,-1,2016-02-22,2016,2,22,573.0666666666667,25.567939694665014,55.08404436036902,-44.827586206896555
02/23/2016,590.0,590.0,590.0,1,2016-02-23,2016,2,23,575.5666666666667,23.256713281197325,56.645940277382344,-28.57142857142857
02/24/2016,600.0,600.0,600.0,1,2016-02-24,2016,2,24,578.2333333333333,21.157347029660293,59.66678864695959,-0.0
02/25/2016,585.0,585.0,585.0,-1,2016-02-25,2016,2,25,580.2333333333333,18.637528571795933,53.63028831093818,-62.5
02/28/2016,585.0,585.0,585.0,0,2016-02-28,2016,2,28,582.3666666666667,14.914661459011517,53.63028831093818,-100.0
02/29/2016,590.0,590.0,590.0,1,2016-02-29,2016,2,29,584.3666666666667,11.214163868274342,55.3756002689328,-66.66666666666667
03/01/2016,590.0,590.0,590.0,0,2016-03-01,2016,3,1,585.5333333333333,9.782931417861352,55.3756002689328,-66.66666666666667
03/02/2016,585.0,585.0,585.0,-1,2016-03-02,2016,3,2,586.2333333333333,8.900535951841722,53.05942932032395,-100.0
03/03/2016,590.0,590.0,590.0,1,2016-03-03,2016,3,3,586.8666666666667,8.443456284196092,55.08268440240066,-66.66666666666667
03/06/2016,610.0,610.0,610.0,1,2016-03-06,2016,3,6,587.9,9.300908372404606,62.11658287401819,-0.0
